alphabet_size,group_size,num_blocks,num_threads,duration,use_shmem,GPU_name
4,8,544,512,9022353,1,NVIDIA GeForce RTX 2080 Ti
4,8,272,1024,9050130,1,NVIDIA GeForce RTX 2080 Ti
4,8,8704,64,9478312,1,NVIDIA GeForce RTX 2080 Ti
4,8,4352,128,9474931,1,NVIDIA GeForce RTX 2080 Ti
4,8,2176,256,9461139,1,NVIDIA GeForce RTX 2080 Ti
4,8,1088,512,9539820,1,NVIDIA GeForce RTX 2080 Ti
4,8,544,1024,9663990,1,NVIDIA GeForce RTX 2080 Ti
4,8,17408,64,10677326,1,NVIDIA GeForce RTX 2080 Ti
4,8,8704,128,10683298,1,NVIDIA GeForce RTX 2080 Ti
4,8,4352,256,10650257,1,NVIDIA GeForce RTX 2080 Ti
4,8,2176,512,10688707,1,NVIDIA GeForce RTX 2080 Ti
4,8,1088,1024,10940850,1,NVIDIA GeForce RTX 2080 Ti
4,8,34816,64,13185696,1,NVIDIA GeForce RTX 2080 Ti
4,8,17408,128,13187956,1,NVIDIA GeForce RTX 2080 Ti
4,8,8704,256,13158930,1,NVIDIA GeForce RTX 2080 Ti
4,8,4352,512,13259653,1,NVIDIA GeForce RTX 2080 Ti
4,8,2176,1024,13549378,1,NVIDIA GeForce RTX 2080 Ti
4,8,69632,64,20143784,1,NVIDIA GeForce RTX 2080 Ti
4,8,34816,128,20196009,1,NVIDIA GeForce RTX 2080 Ti
4,8,17408,256,20125517,1,NVIDIA GeForce RTX 2080 Ti
4,8,8704,512,20208075,1,NVIDIA GeForce RTX 2080 Ti
4,8,4352,1024,20538346,1,NVIDIA GeForce RTX 2080 Ti
4,16,1088,64,10272723,1,NVIDIA GeForce RTX 2080 Ti
4,16,544,128,10258097,1,NVIDIA GeForce RTX 2080 Ti
4,16,272,256,10290590,1,NVIDIA GeForce RTX 2080 Ti
4,16,136,512,10248941,1,NVIDIA GeForce RTX 2080 Ti
4,16,68,1024,10198012,1,NVIDIA GeForce RTX 2080 Ti
4,16,2176,64,10069412,1,NVIDIA GeForce RTX 2080 Ti
4,16,1088,128,10051667,1,NVIDIA GeForce RTX 2080 Ti
4,16,544,256,10043198,1,NVIDIA GeForce RTX 2080 Ti
4,16,272,512,10082154,1,NVIDIA GeForce RTX 2080 Ti
4,16,136,1024,10052755,1,NVIDIA GeForce RTX 2080 Ti
4,16,4352,64,9974539,1,NVIDIA GeForce RTX 2080 Ti
4,16,2176,128,9937280,1,NVIDIA GeForce RTX 2080 Ti
